#####################################################################
# Alchemist log file - simulation started at: 2023-03-08T22:35+0000 #
#####################################################################
#
# seed = 12
#
# The columns have the following meaning: 
# time distances[min] distances[max] distances[mean] 
0.0 NaN NaN NaN
0.0 NaN NaN NaN
1.0 0.5493659220221573 2.281456175997014 1.53729760107016
2.0 1.202968032568038 2.1653776049781834 1.5552056899170341
3.0 1.1833309641661545 2.159048260251418 1.5511858501924172
4.0 1.148268024421965 2.1648367890233198 1.5259915626777076
5.0 1.1022710398191005 2.0989536730476095 1.50316131243602
6.0 1.0466481786972526 2.0460193305811756 1.4775450082014776
7.0 0.998961963021394 1.9793428157492663 1.4541589759511253
8.0 0.9517246023084823 1.940478928293658 1.429685192950796
9.0 0.9140152481089967 1.9065922874512693 1.4037971784999286
10.0 0.8791267231148518 1.9087897290089018 1.375223276019286
11.0 0.8621236266644925 1.9221655750354358 1.3532247638501926
12.0 0.8472784251518982 1.9471579951068592 1.3304274149932793
13.0 0.8007973895181939 2.0065699669924038 1.308198472734737
14.0 0.7553458189931301 2.0026529647733518 1.2849311622498971
15.0 0.7158796295345645 2.0101365086473826 1.2611534872213144
16.0 0.6886609589298164 2.0040750527802444 1.235256841755354
17.0 0.6221712558895923 1.9364935722677068 1.2098039306161257
18.0 0.6009370784374279 1.8914536815633611 1.1876835906303134
19.0 0.5827117823964687 1.8494541645970557 1.1662108874532153
20.0 0.546442452128113 1.8396264221205882 1.142477774676924
21.0 0.48857561682941525 1.8279593891691923 1.116575565626684
22.0 0.4484495612318318 1.7795984838260055 1.0942422649598884
23.0 0.41227185535159105 1.7795984838260055 1.0745993521362514
24.0 0.40717481294001423 1.7795179999962372 1.0548118680478165
25.0 0.41436772999203414 1.7775006663647628 1.0359446206988263
26.0 0.4055325311611767 1.7893434849611771 1.014895361093334
27.0 0.399766007978194 1.777204371544053 0.9918909352554999
28.0 0.35627643085245114 1.8053984420825977 0.9697737152388856
29.0 0.3159124452477494 1.7913333489931058 0.9489070493074454
30.0 0.3096283112834066 1.7543537209512192 0.9266805609990604
31.0 0.32763905569907287 1.7729330020682987 0.9126596355246301
32.0 0.34845983059229857 1.7641571045521995 0.9001570213069066
33.0 0.335711340828332 1.737106189988473 0.888927350768257
34.0 0.3306023797815894 1.7783453650443903 0.8769311007670133
35.0 0.331399026468444 1.8314602976497807 0.8644008906259992
36.0 0.3272618867126806 1.8546943000807583 0.8474129960149542
37.0 0.31683890825488625 1.8750026221116975 0.8301561467685505
38.0 0.3177277821229149 1.8548279559898304 0.8133855597091451
